Food Items,Energy kcal,Carbs,Protein(g),Fat(g),Freesugar(g),Fibre(g),Cholestrol(mg),Calcium(mg)
Sev (Omapodi/Karapusa),609.14,12.87,5.12,60.08,0.53,2.35,0,13.95
Papdi,708.96,12.89,1.83,72.11,0.31,0.56,0,6.06
Jowar dosa,294.35,40.53,8.5,10.28,0.59,5.56,0,19.46
Bread roll,435.46,16.12,2.85,40.25,0.94,1.45,0,44.83
Soya seekh kebab,115.05,10,5.4,5.88,0.51,2.24,0,15.67
Classic seasoned black beans,28.78,7.66,8.01,8.28,0.44,3.51,0,40.11
Maa chaane ki dal,344.67,43.11,19.8,9.5,1.05,13.45,15.36,68.65
Garlic chickpea soup (Lahasun aur chane ka shoraba),89.53,13.92,4.45,2.01,2.65,2.84,0,13.93
White sauce (thin),115.17,6.58,3.31,8.41,4.58,0.07,11.04,110.2
White sauce (medium),151.27,7.98,3.36,11.76,4.32,0.14,20.47,103.53
White sauce (thick),209.69,10.24,3.43,17.19,3.9,0.24,35.72,92.74
Cheese sauce,194.76,7.08,7.68,15.12,4.53,0.12,39.75,255.14
Egg sauce,146.85,5.88,5.97,11.08,3.19,0.12,111.08,89.49
Mushroom sauce,137.56,7.31,3.39,10.51,3.86,0.47,18.2,94.1
Mustard sauce,158.58,8.29,3.98,12.17,4.22,0.13,19.97,109.03
Brown sauce,109.18,5.38,11.92,23.67,0.13,1.69,0,40.44
Classic italian pasta,42.12,4.4,0.57,2.45,2.94,1.36,1.7,19.55
Pasta spinach sauce,85.46,1.76,1.76,7.9,1.04,0.86,9.34,58.57
Pasta cheese sauce,149.26,9,4.33,10.84,4.22,0.14,22.22,152.68
Mayonnaise,774.86,1.65,1.86,84.52,1.44,0.11,117.12,15.36
Low calorie quick mayonnaise,242.89,4.71,1.41,24.35,0.83,0.06,35.67,6.47
Thousand island dressing,407.87,4.49,1.37,42.87,3.1,0.46,34,9.11
Curd dip,79.95,7.95,5.04,3.36,7.12,0.1,10.59,167.17
Short crust pastry,422.1,44.72,6.11,23.98,3.18,1.58,61,16.9
Choux pastry,222.37,16.2,5.55,14.96,1.5,0.56,125.01,19.43
Flaky pastry,443.94,33.61,4.69,31.99,0.81,1.25,0,9.28
Sponge cake ,253.77,44.63,9.18,4.74,26.33,0.69,182.09,30.22
Glace icing,323.51,86.31,0.01,0.01,85.35,0,0,1.95
Royal icing,332.58,86.53,1.74,0.02,85.57,0,0,2.87
American frosting,257.57,67.48,1.05,0.01,67.46,0,0,7.05
Gum icing,223.07,53.19,5.94,0,52.63,0,0,18.62
Channa murmura premix,339.09,72.59,10.59,3.28,1.52,8.21,0,21.36
Cracked wheat and green gram dal premix (Dalia moong dal premix),362.16,64.75,15.89,5.11,0.63,11.66,0,49.03
Rice flakes and roasted channa ,333.4,71.94,10.57,2.94,1.31,8.84,0,17.23
Spinach soup in milk ,56.72,3.98,2.89,3.2,3.34,0.79,0,106.1
Vegetable soup,55.21,7.6,2.22,1.55,1.61,3.01,3.34,18.1
Mashed banana with milk,95.43,14.62,2.51,2.99,11.35,0.71,0,78.64
Poha with curd (Poha aur dahi),173.32,26.72,6.01,4.65,5.46,1.09,13.37,140.9
Potato with curd,73.18,12.01,3.19,1.33,3.3,1.02,4.38,85.41
Sweet wheat porridge (Sweet dalia),140.66,23.77,5.11,2.79,12.23,2.37,0,99.18
Vegetable khichdi/khichri,143.17,19.57,5.61,4.53,3.71,2.45,11.92,100.54
Moong dal mixture,158.84,33.93,4.62,1,24.68,1.9,2.38,70.53
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),167.45,22.35,7.56,5.52,3.79,3.74,14.62,123.04
Stewed apple,91.93,22.49,0.17,0.37,20.45,1.48,0,9.25
Lemon squash (Nimbu ka squash),184.56,48.88,0.15,0.06,48.88,0,0,9.85
Orange squash (Santre ka squash),193.26,50.88,0.22,0.04,50.56,0.4,0,10.62
Lichi squash,198.33,51.96,0.3,0.08,51.31,0.41,0,6.39
Mango squash (Aam ka squash),194.66,50.96,0.17,0.17,50.84,0.58,0,9.47
Pineapple squash (Ananas ka squash),195.02,51.34,0.16,0.05,51.08,1.06,0,7.96
Lemon and ginger squash (Nimbu aur adrak ka squash),170.34,44.06,0.54,0.21,42.53,1.07,0,11.18
Apple jam (Seb ka murabba),188.79,48.56,0.14,0.32,46.76,1.29,0,10.84
Plum jam (Aloo bukhara jam),178.89,46.2,0.31,0.19,45.25,1,0,7.5
Pineapple jam ,149.18,38.27,0.32,0.15,37.44,2.2,0,10.47
Guava jelly (Amrood ki jelly),115.74,28.18,1.11,0.25,27.38,6.61,0,16.55
Orange marmalade (Santray ka murabba),104.17,25.94,0.66,0.13,25.09,1.97,0,17.59
Carrot murabba (Gajar ka murabba),175.24,45.6,0.32,0.16,44.83,1.39,0,15.86
Gooseberry marmalade (Amla murabba),123.16,32.34,0.14,0.03,28.61,0,0,16.4
Ginger candy (Adrak ki candy),195.71,50.38,0.69,0.27,47.99,1.67,0,10.43
Mango pickle (Aam ka achaar),192.12,8.11,1.6,17.89,1.79,3.68,0,48.97
Mixed vegetable pickle (Sabziyoon ka achaar),211.2,7.48,1.9,19.68,2.77,2.76,0,42.81
Sweet lemon pickle (Neembu ka meetha achaar),69.54,16.87,1.22,0.21,14.63,2.13,0,42.57
Plum chutney (Aloo bukhara ki chutney),177.11,44.95,0.47,0.29,43.9,1.37,0,12.38
Raw mango chutney (Kachhe aam/Kairi ki chutney),193.13,49.94,0.51,0.16,45.22,2.17,0,25.92
Tomato sauce,34.33,7.23,0.81,0.27,5.69,1.79,0,13
Tomato puree,20.62,3.68,0.75,0.25,2.32,1.56,0,8.91
Garam masala,254.21,26.2,9.89,10.97,1.79,35.56,0,609.77
Chat masala,222.58,23.87,8.19,9.91,0.79,18.62,0,519.5
Kashmiri masala,389.02,23.16,8.26,31.03,2.41,12.12,0,303.49
Rasam powder (Rasam masala),267.96,25.19,12.04,11.8,1.91,35.71,0,562.15
Sambar powder (Sambar masala),297.46,23.38,12.5,15.58,1.87,34.56,0,439.95
Tartare sauce,610.93,2.96,1.44,66.12,2.18,0.42,50.47,21.06
Barbeque sauce,121.93,20.46,0.96,4.51,18.88,0.69,0,28.61
Bread sauce,111.04,8.69,3.46,7.05,4.63,0.56,8.48,110.72
Green chilli sauce,46.06,7.36,1.25,0.27,5.36,1.77,0,9.89
Home made plain noodles,238.78,44.5,6.21,3.56,1.07,1.65,0,12.27
Dal moong,43.69,4.92,2.2,1.62,0.13,1.08,3.55,7.69
Cumin seeds baghar (Jeera baghar/tadka),736.81,5.22,3.34,78.77,0.49,6.01,189.23,177.77
Onion tomato baghar (Pyaaz tamatar ka tadka),137.52,6.17,1.26,11.98,3.51,2.12,29.17,20.45
Mustard seeds baghar (Mustard seed tadka),552.59,10.45,4.73,54.3,1.14,9.74,130.57,182.93
Hot cherry sauce,252.74,67.95,0.13,0.07,17.65,0,0,24.82
Apple jelly (Seb ki jelly),152.13,39.37,0.1,0.21,38.18,0.86,0,7.89
Marmalade (Murabba),143.76,37.64,0.23,0.04,37.29,0.43,0,9.84
Plum squash (Aloo bukhara squash),211.17,55.51,0.16,0.1,55.02,0.52,0,6.9
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),14.07,2.14,0.85,0.24,1,1.07,0,20.05
Brinjal pickle (Baingan ka achaar),139.01,4.23,2.24,12.98,1.07,4.62,0,37.28
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),60.88,6.55,1.26,3.24,4.31,2.2,0,15.18
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),91.21,6.32,1.98,6.55,3.04,5.08,0,54.31
Tomato chutney (Tamatar ki chutney),176.07,31.85,0.97,6.01,30.02,1.49,0,25.34
Tomato ketchup,33.07,6.48,0.91,0.3,4.68,1.9,0,15.33
Bengal 5 Spice Blend (Panch Phoran),289.79,20,18.26,22.16,1.4,18.4,0,523
